id,prediction
314,4416838.652
329,8864499.37
930,8962489.124
949,10234548.6
1177,8491753.115
1319,10044299.91
1405,7272211.44
1431,6225082.43
1475,6019858.318
1520,5736564.601
1722,8432891.292
2283,11567477.75
2391,7027229.976
2447,7114870.982
2558,4836033.029
2639,7065908.757
2699,11183220.33
2842,4558318.964
2907,7645214.867
2987,7631801.301
3090,5384413.65
3095,18542273.14
3187,12898594.9
3198,5249126.408
3315,5670684.81
3589,8998429.189
4132,7946145.8
4141,2965089.414
4171,5791762.324
4206,9161567.124
4246,9630824.439
4336,9893719.902
4337,10802082.06
4359,9308923.579
4381,7091493.814
4383,9102852
4476,6125270.111
4486,11317328.14
4547,11240823.42
4555,6762776.099
4571,11396136.62
4590,9290124.235
4622,8057627.319
4706,6344576.81
4710,8054104.082
4766,6879483.785
4770,9783828.241
4789,11222163.72
4817,7143787.179
4835,10251805.93
4892,6978309.743
4896,9841880.683
4898,7929935.477
4915,11488457.21
4923,8438629.795
4932,6450252.146
4991,8195713.089
4992,7546952.975
4993,9614218.506
5020,5895804.884
5037,6898045.602
5094,8450342.233
5345,7715120.09
5451,11789768.46
5524,7120840.969
5566,7013653.15
5731,26244535.2
5800,7535322.359
5954,7507267.041
5997,9932070.606
6045,10142134.81
6137,8870177.78
6177,5186400.439
6333,5618139.452
6373,6879173.379
6472,3439517.247
6609,5296672.595
6648,7336964.974
6696,6206152.452
6731,9270060.026
7015,7632668.59
7108,5431628.491
7226,9303964.451
7458,9031957.543
7508,12646198.39
7556,6753994.39
7563,6995776.493
7980,7786661.821
7982,5180877.336
8264,8448844.184
8419,7443509.442
8464,9843381.511
8898,10540372.83
9064,10502607.37
9164,11600406.6
9277,7862097.434
9284,8977569.686
9447,9851974.407
9480,9832288.361
9631,6139319.496
9972,7963387.68
10045,6060129.47
10265,13652537.02
10329,9063948.95
10396,9763528.079
10483,7991610.25
10512,5605246.202
10571,5391347.65
10595,5046182.972
10654,10298647.02
10677,7380102.526
10698,5657021.687
10790,7208740.804
10983,5654978.772
10987,6978881.492
11007,5727845.488
11040,12581583.89
11044,10683130.6
11082,7517849.193
11099,12315180.77
11131,5739706.169
11183,7295073.007
11198,6184865.592
11219,2631613.067
11260,5695515.196
11347,8864834.444
11365,6669442.571
11401,7951677.427
11433,6874682.485
11626,10007007.24
11672,8492997.967
11675,8899907.02
11748,8991889.829
11933,5975754.103
12082,10227644.72
12137,7204907.031
12191,9860085.406
12205,9417045.401
12252,10261823.28
12285,14808948.7
12319,7972321.3
12368,8357030.358
12389,6006987.271
12607,6602166.664
12706,5384483.001
12711,10501297.5
12740,6364163.448
12787,7000456.874
12865,10054157.37
12931,6538148.983
13006,8271872.326
13021,7485210.312
13024,5660405.654
13072,6774997.675
13127,8119874.557
13409,8544799.858
13411,6941781.17
13564,6321594.639
13730,8478200.187
13801,5842745.828
13941,7170416.866
13954,4864087.17
13987,8293404.683
14032,8167010.197
14047,7549367.641
14122,16597664.41
14331,9011891.221
14545,5139014.856
14694,15138555.56
14695,2582765.215
14980,6241733.191
15077,11659157.88
15106,4866508.57
15139,7672119.042
15157,7146118.916
15242,9365072.358
15281,7830056.376
15291,10628713.02
15294,5854825.86
15309,17017013.91
15356,16390970.5
15518,5555462.63
15699,18181398.12
15743,10370248.73
15760,6193978.16
15884,5658913.335
15929,11081925.33
15989,7827044.658
16017,7814498.575
16155,9014898.203
16176,8297691.069
16229,8187569.145
16276,16453984.79
16281,9285892.112
16295,9345960.262
16552,4632479.427
16607,6750339.219
16615,8304013.223
16617,6162481.597
16821,10598694.6
17210,12862075.49
17396,8233911.963
17473,8361781.891
17483,2658718.576
