MonthNumber,monthYear,AvgPrice
1,201108,5850000
2,201109,6255310.057
3,201110,5667466.103
4,201111,6140269.116
5,201112,5812806.357
6,201201,6967014.896
7,201202,6815771.139
8,201203,6789860.019
9,201204,6720821.319
10,201205,7393948.929
11,201206,7180537.767
12,201207,6342624.352
13,201208,6165646.026
14,201209,6449854
15,201210,5837659.089
16,201211,5642412.159
17,201212,5529669.437
18,201301,6213297.293
19,201302,6190382.121
20,201303,6560774.539
21,201304,6452142.602
22,201305,6102472.935
23,201306,6692732.249
24,201307,6780649.941
25,201308,6696938.992
26,201309,6922997.574
27,201310,6766038.318
28,201311,6928066.816
29,201312,7088935.077
30,201401,7100582.231
31,201402,7168001.301
32,201403,7318832.705
33,201404,7578128.919
34,201405,7662245.615
35,201406,7144206.239
36,201407,7299788.159
37,201408,7702096.24
38,201409,7928370.136
39,201410,7299666.628
40,201411,7372430.793
41,201412,7771077.905
42,201501,8407421.087
43,201502,8040201.617
44,201503,8501841.847
45,201504,8057189.243
46,201505,8210895.889
47,201506,8091600.953
