id,price_doc,price_doc_predicted,ln(a+1),ln(pi+1),(ln(pi+1)-ln(a+1)),(ln(pi+1)-ln(a+1))^2
18344,6213200,58406592.23,15.64218678,17.88293934,2.240752559,5.020972031
23718,6572700,57329371.46,15.69843542,17.86432366,2.165888242,4.691071875
3599,3899400,41684001.37,15.17633351,17.54562798,2.369294467,5.613556273
29659,70000000,35793085.28,18.06400581,17.39326531,-0.670740502,0.449892821
1310,7750000,34762302.91,15.86320353,17.36404414,1.500840606,2.252522526
1030,2000000,34748021.56,14.50865824,17.36363322,2.854974985,8.150882165
29520,42300000,33668046.38,17.56029767,17.3320598,-0.228237871,0.052092526
28329,95122496,33409669.45,18.37067606,17.32435595,-1.046320111,1.094785774
16746,54212936,33067466.8,17.80843013,17.31406051,-0.494369617,0.244401318
25307,36860612,33064912.84,17.42265414,17.31398327,-0.108670867,0.011809357
23899,46191272,32155965.45,17.64830144,17.28610857,-0.362192869,0.131183674
19022,49012500,30192732.85,17.70758595,17.22311185,-0.484474094,0.234715147
26641,45744088,28929518.98,17.63857314,17.18037308,-0.458200055,0.20994729
26658,44425664,28877850.11,17.6093279,17.17858546,-0.430742439,0.185539049
6979,18100000,28639331.49,16.71142255,17.17029159,0.458869041,0.210560797
17703,29000000,28578857.86,17.18280642,17.1681778,-0.014628621,0.000213997
25186,64000000,28427139.57,17.97439366,17.1628549,-0.811538756,0.658595153
3405,61950000,28077331.4,17.94183818,17.15047313,-0.79136505,0.626258642
1946,40500000,27987833.64,17.51681256,17.1472805,-0.36953206,0.136553944
6378,18100000,27830797.22,16.71142255,17.14165382,0.430231264,0.18509894
18936,24267600,27459517.54,17.00465273,17.12822343,0.123570699,0.015269718
5505,9000000,27056109.52,16.01273525,17.11342343,1.100688189,1.211514488
2260,34187584,27034519.6,17.34737312,17.11262515,-0.234747976,0.055106612
27774,41984796,26721669.18,17.55281813,17.10098541,-0.451832723,0.20415281
21900,35000000,26655888.64,17.37085865,17.09852068,-0.272337964,0.074167967
26216,28176568,26596874.23,17.1540013,17.09630429,-0.05769701,0.003328945
30082,45640000,26314521.38,17.6362951,17.08563153,-0.550663578,0.303230377
5731,71033632,26244535.2,18.07866403,17.08296838,-0.995695646,0.99140982
28701,45640000,26219931.46,17.6362951,17.08203046,-0.554264644,0.307209296
20918,44000000,26039217.2,17.59970021,17.07511435,-0.524585863,0.275190327
1595,58200000,25943507.32,17.87939593,17.07143198,-0.807963955,0.652805752
3533,35000000,25722090.38,17.37085865,17.06286077,-0.307997881,0.094862694
6322,78802248,25709071.9,18.1824521,17.06235452,-1.120097576,1.254618581
784,23435712,25639199.46,16.96977161,17.05963301,0.089861393,0.00807507
27618,37000000,25179889.18,17.4264285,17.04155623,-0.384872272,0.148126666
19098,80777440,25132787.56,18.20720829,17.03968387,-1.16752442,1.363113272
27499,44682580,25121177.96,17.6150943,17.03922183,-0.575872465,0.331629096
20222,10000000,24833459.82,16.11809575,17.02770253,0.909606777,0.827384489
18340,69818672,24817890.46,18.06141205,17.02707538,-1.034336673,1.069852352
