id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,product_type,sub_area,area_m,raion_popul,green_zone_part,indust_part,children_preschool,children_school,hospital_beds_raion,healthcare_centers_raion,university_top_20_raion,shopping_centers_raion,office_raion,railroad_terminal_raion,big_market_raion,full_all,0_6_all,7_14_all,0_17_all,16_29_all,0_13_all,build_count_block,build_count_wood,build_count_frame,build_count_brick,build_count_before_1920,build_count_1921-1945,build_count_1946-1970,build_count_1971-1995,build_count_after_1995,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,school_km,park_km,green_zone_km,industrial_km,railroad_station_walk_km,railroad_station_walk_min,ID_railroad_station_walk,railroad_station_avto_km,railroad_station_avto_min,public_transport_station_km,public_transport_station_min_walk,kremlin_km,big_road1_km,big_road2_km,railroad_km,bus_terminal_avto_km,big_market_km,market_shop_km,fitness_km,swim_pool_km,ice_rink_km,stadium_km,basketball_km,public_healthcare_km,university_km,workplaces_km,shopping_centers_km,office_km,big_church_km
26,40810,45,29,9,NA,NA,NA,NA,NA,Investment,Fili Davydkovo,6982964.492,111374,0.348985814,0,7116,7425,NA,2,0,5,1,no,no,89467,7116,7425,17354,19098,13592,72,3,4,200,0,3,281,77,43,2.289276327,1.251643323,14.5003277,1.208360642,0.217198308,1.265683402,0.015624417,1.731291127,0.942071851,11.30486221,22,1.850508262,3.323690294,0.285404524,3.424854288,10.15250217,0.463584206,0.749997524,0.195194677,17.41301848,20.63852868,5.35214615,0.675071056,1.742193917,5.709363297,5.021730755,2.313727353,1.828364047,5.610651169,0.980007455,0.527371673,0.40058999,1.047516431
30,40813,42,27,3,NA,NA,NA,NA,NA,Investment,Jaroslavskoe,8338438.453,94236,0.037753826,0.127811589,5991,7287,320,1,1,3,5,no,no,81980,5991,7287,16291,18679,12396,34,2,0,66,0,11,60,125,11,6.542012413,4.936781854,29.81924611,2.484937176,0.220083954,1.939689454,0.484754927,0.142505204,2.274821805,27.29786166,25,5.079170689,6.308239719,0.082561775,0.990741294,11.55160025,0.059742495,0.472159628,0.401315571,17.56063568,7.003345282,7.332448078,0.18766313,4.729502268,6.496347425,7.875841314,0.448576091,4.531618802,1.077134989,0.220083954,0.18766313,0.386846125,1.664295549
35,40814,39,19,1,NA,NA,NA,NA,NA,Investment,Staroe Krjukovo,4389199.094,28537,0.033225884,0.13012277,1908,1986,NA,0,0,0,0,no,no,32071,1908,1986,4735,7355,3645,22,27,7,4,0,5,30,39,22,27.20955519,22.17294417,264.4357616,22.03631347,0.243587382,16.46505435,0.03483544,0.954329768,2.415935559,28.9912267,28,2.759791266,3.736720497,0.317656644,3.811879722,37.20515244,3.263793252,6.706709256,1.090086114,28.69394509,42.13959716,2.655847409,1.43208214,5.724330571,5.665955611,29.34484776,15.91765242,2.668089044,3.32839071,2.645520786,0.3996391,1.37968573,3.644171107
39,40816,33,18,2,NA,NA,NA,NA,NA,Investment,Veshnjaki,10518366.87,118945,0.334905313,0.012338886,5208,5776,2078,2,0,4,1,no,no,104410,5208,5776,13481,21542,10230,45,0,0,26,0,0,47,171,16,1.368327811,1.094662246,13.13594695,1.094662246,0.490488618,1.233240527,0.794951927,1.117497958,1.19660387,14.35924644,30,2.106603027,2.633253782,0.008908311,0.106899738,12.32333481,1.614760664,1.857108041,0.507707247,3.461336484,9.603627508,1.617394455,0.837668991,1.530996056,4.664910533,7.449133969,1.285018479,2.337818236,1.878315392,2.841266112,0.596750204,1.558456355,0.947786307
48,40819,36,18,5,NA,NA,NA,NA,NA,Investment,Novo-Peredelkino,8591335.051,111023,0.058543047,0.025609157,6354,5261,240,3,0,1,0,no,no,132349,6354,5261,13507,27107,11003,13,372,83,114,4,187,209,170,174,2.172408118,0.869582237,8.432303265,0.702691939,0.806864642,1.636343417,0.025446586,0.356236862,1.993982289,23.92778746,34,2.163206409,3.477413748,0.05421893,0.65062716,18.93333859,3.606867407,3.918012386,0.66447827,14.46163488,12.64100125,3.71213023,1.198182602,1.781427393,1.953575808,11.20749109,5.408329777,1.97979483,8.469834627,6.872408965,1.184711642,2.034773728,1.6909174
72,40821,64,28,10,NA,NA,NA,NA,NA,Investment,Ochakovo-Matveevskoe,17526506.21,118843,0.133372781,0.309479124,7454,7715,990,0,0,6,4,no,no,111023,7454,7715,18269,29595,14168,81,1,4,66,0,2,134,106,57,2.105011781,1.521022786,16.84441467,1.403701223,0.111822841,1.499538353,0.291386174,0.18346954,0.623275913,7.479310952,33,0.623275913,1.009414908,0.274226672,3.290720062,13.08630242,1.484968124,1.73472514,0.16512196,12.85368777,11.03305414,3.258970274,1.727398871,4.895398302,5.929917347,5.332183487,1.694710423,3.800063973,3.552298151,4.509883989,0.78703863,0.578440341,0.765902656
98,40828,39,18,8,NA,NA,NA,NA,NA,Investment,Moskvorech'e-Saburovo,10046857.44,76156,0.071056234,0.246031548,3816,3151,2715,3,1,3,4,no,no,130229,3816,3151,8456,27194,6625,4,0,0,75,0,0,78,54,21,5.036110911,3.851636708,44.44433562,3.703694635,0.227652544,0.236984853,0.554386452,0.627155635,0.687781398,8.253376779,27,0.687781398,1.332916617,0.174835813,2.09802976,13.29110581,4.831865098,5.191745889,0.546253235,3.850637874,5.217271224,3.252086273,0.05807959,1.877074124,5.915444278,6.167239833,3.809666619,2.316147044,2.678603526,2.141260404,0.273939272,1.360533915,1.509218958
102,40828,37,16,9,NA,NA,NA,NA,NA,Investment,Dorogomilovo,7798452.185,67710,0.199430788,0.081943463,2621,2738,NA,1,0,4,20,yes,no,21040,2621,2738,6674,4630,4999,5,0,0,174,4,58,103,15,7,1.968079392,0.934339613,9.399529616,0.783294135,0.296733448,1.333550227,0.153436888,0.827119275,0.883078013,10.59693616,50,0.989965618,2.241683335,0.112389835,1.348678024,3.103263595,1.869073631,1.903816422,0.380385442,6.24974667,10.55424748,0.66771891,0.486113958,1.25064919,0.990568797,2.418482771,0.532040012,2.259653061,1.357735146,1.477504767,0.302447693,0.142695922,0.532040012
105,40829,26,1,6,NA,NA,NA,NA,NA,Investment,Timirjazevskoe,10508030.1,81887,0.331318706,0.020741326,4969,5613,1340,2,0,5,5,no,no,57107,4969,5613,13145,15474,9864,82,16,0,175,3,33,226,48,11,0.876793966,0.417108702,5.005304426,0.417108702,0.431931872,1.1073323,0.483662902,0.490971102,0.382300314,4.587603774,51,0.382300314,0.833283482,0.153729698,1.84475637,10.22408395,0.173667278,3.743582512,0.199210335,10.29427143,15.4577054,4.194167623,0.290152966,1.201641326,3.66579867,3.550474713,0.684603243,2.72338349,3.530180712,2.147234551,0.569651594,0.122705549,0.963563284
110,40829,77,40,15,NA,NA,NA,NA,NA,Investment,Hovrino,5264733.751,80791,0.184282943,0.050755569,5195,5469,145,0,0,1,1,no,no,81887,5195,5469,12655,21910,10012,58,1,0,18,0,0,113,52,88,3.617461065,2.407343645,29.30784259,2.442320216,0.205711904,0.569700677,0.269340865,0.949261855,1.589715904,19.07659085,12,1.697008809,2.319605725,0.029567674,0.354812089,14.08102571,2.166472591,2.315545297,0.776181927,11.72914812,17.9881662,3.852636054,0.474473593,2.642638927,3.185676543,4.788968916,2.907143318,1.550613545,2.116721891,1.625247397,1.181264789,1.206745376,0.487256852
