"id","timestamp","month","day","year","monthYear","price_doc"
314,2011-11-08,"11","08","2011","201111",6300000
329,2011-11-10,"11","10","2011","201111",20500000
930,2012-01-26,"01","26","2012","201201",4900000
949,2012-01-27,"01","27","2012","201201",17500000
1114,2012-02-08,"02","08","2012","201202",38262992
1177,2012-02-13,"02","13","2012","201202",22500000
1319,2012-02-25,"02","25","2012","201202",16950000
1405,2012-03-02,"03","02","2012","201203",3400000
1431,2012-03-05,"03","05","2012","201203",8650000
1475,2012-03-10,"03","10","2012","201203",8020000
1520,2012-03-14,"03","14","2012","201203",6600000
1722,2012-03-29,"03","29","2012","201203",15500000
2283,2012-05-25,"05","25","2012","201205",19800000
2391,2012-06-04,"06","04","2012","201206",10750000
2447,2012-06-08,"06","08","2012","201206",11000000
2558,2012-06-18,"06","18","2012","201206",6800000
2639,2012-06-25,"06","25","2012","201206",1500000
2699,2012-06-29,"06","29","2012","201206",33729308
2842,2012-07-13,"07","13","2012","201207",7100000
2907,2012-07-18,"07","18","2012","201207",14500000
2987,2012-07-24,"07","24","2012","201207",2300000
3090,2012-07-31,"07","31","2012","201207",3000000
3095,2012-07-31,"07","31","2012","201207",3000000
3187,2012-08-10,"08","10","2012","201208",33000000
3198,2012-08-13,"08","13","2012","201208",2000000
3302,2012-08-23,"08","23","2012","201208",3329735
3315,2012-08-24,"08","24","2012","201208",3112727
3399,2012-08-29,"08","29","2012","201208",5899500
3535,2012-09-07,"09","07","2012","201209",4418305
3589,2012-09-12,"09","12","2012","201209",5839537
3616,2012-09-13,"09","13","2012","201209",3460400
3690,2012-09-18,"09","18","2012","201209",3486000
3964,2012-09-29,"09","29","2012","201209",5770800
4132,2012-10-10,"10","10","2012","201210",5153050
4141,2012-10-10,"10","10","2012","201210",4618597
4171,2012-10-11,"10","11","2012","201210",10000000
4206,2012-10-13,"10","13","2012","201210",4745934
4246,2012-10-16,"10","16","2012","201210",4630272
4336,2012-10-22,"10","22","2012","201210",4731352
4337,2012-10-22,"10","22","2012","201210",5501549
4359,2012-10-23,"10","23","2012","201210",5063160
4381,2012-10-25,"10","25","2012","201210",4240000
4383,2012-10-25,"10","25","2012","201210",4503212
4476,2012-10-31,"10","31","2012","201210",3573584
4486,2012-10-31,"10","31","2012","201210",5642192
4547,2012-11-03,"11","03","2012","201211",5675710
4555,2012-11-03,"11","03","2012","201211",3317827
4571,2012-11-06,"11","06","2012","201211",5761879
4573,2012-11-06,"11","06","2012","201211",4786322
4574,2012-11-06,"11","06","2012","201211",4615827
4575,2012-11-06,"11","06","2012","201211",5608283
4590,2012-11-07,"11","07","2012","201211",4782896
4622,2012-11-08,"11","08","2012","201211",4681378
4633,2012-11-08,"11","08","2012","201211",3261166
4683,2012-11-12,"11","12","2012","201211",4309729
4706,2012-11-13,"11","13","2012","201211",3287038
4709,2012-11-13,"11","13","2012","201211",4203264
4710,2012-11-13,"11","13","2012","201211",5082880
4758,2012-11-15,"11","15","2012","201211",4197720
4766,2012-11-16,"11","16","2012","201211",3196952
4770,2012-11-16,"11","16","2012","201211",4617329
4789,2012-11-17,"11","17","2012","201211",5496002
4803,2012-11-19,"11","19","2012","201211",6763447
4817,2012-11-20,"11","20","2012","201211",4175085
4835,2012-11-20,"11","20","2012","201211",5582756
4892,2012-11-22,"11","22","2012","201211",3209097
4896,2012-11-22,"11","22","2012","201211",4699622
4898,2012-11-23,"11","23","2012","201211",5008359
4915,2012-11-23,"11","23","2012","201211",5442738
4923,2012-11-24,"11","24","2012","201211",3274574
4932,2012-11-24,"11","24","2012","201211",3276874
4979,2012-11-27,"11","27","2012","201211",4777414
4991,2012-11-28,"11","28","2012","201211",4206298
4992,2012-11-28,"11","28","2012","201211",4216161
4993,2012-11-28,"11","28","2012","201211",4582030
5019,2012-11-29,"11","29","2012","201211",5526164
5020,2012-11-29,"11","29","2012","201211",3912000
5033,2012-11-30,"11","30","2012","201211",4238148
5037,2012-11-30,"11","30","2012","201211",3235985
5094,2012-12-04,"12","04","2012","201212",3274574
5106,2012-12-05,"12","05","2012","201212",4159123
5201,2012-12-11,"12","11","2012","201212",5501938
5234,2012-12-12,"12","12","2012","201212",4448000
5265,2012-12-13,"12","13","2012","201212",4096000
5267,2012-12-13,"12","13","2012","201212",3849123
5345,2012-12-18,"12","18","2012","201212",4975100
5451,2012-12-24,"12","24","2012","201212",5650508
5456,2012-12-25,"12","25","2012","201212",3262890
5479,2012-12-25,"12","25","2012","201212",3554360
5496,2012-12-26,"12","26","2012","201212",3347400
5524,2012-12-27,"12","27","2012","201212",3347400
5566,2012-12-29,"12","29","2012","201212",3588280
5632,2013-01-14,"01","14","2013","201301",3406880
5731,2013-01-21,"01","21","2013","201301",71033632
5800,2013-01-28,"01","28","2013","201301",10800000
5954,2013-02-07,"02","07","2013","201302",5000000
5997,2013-02-11,"02","11","2013","201302",5058752
6045,2013-02-15,"02","15","2013","201302",6408998
6137,2013-03-01,"03","01","2013","201303",17000000
6177,2013-03-01,"03","01","2013","201303",3839320
6333,2013-03-06,"03","06","2013","201303",3450000
6373,2013-03-07,"03","07","2013","201303",4127849
6472,2013-03-13,"03","13","2013","201303",5000000
6483,2013-03-14,"03","14","2013","201303",3823276
6609,2013-03-19,"03","19","2013","201303",3842500
6648,2013-03-20,"03","20","2013","201303",3691288
6696,2013-03-22,"03","22","2013","201303",3444000
6731,2013-03-23,"03","23","2013","201303",5406690
6804,2013-03-26,"03","26","2013","201303",5835520
